location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,choane,ectoparasites,comments
Kutzerow,09/05/2020,,,11:54:00,CL,ZI13768,n,2452,RS,m,a,11.3,131,,2,1,,70.7,20.3,,,,,,
Kutzerow,09/05/2020,,,12:10:00,CL,ZI13769,n,NA,RS,f,a,11,125,,2,1,,49.3,18,,,,,M,
Kutzerow,09/05/2020,,,12:25:00,CL,ZI13770,n,2440,RS,m,a,11.5,128,,2,2,,73.3,20.6,,,,,M,
Kutzerow,09/05/2020,,,,CL,VH59010,n,NA,MS,m,a,11,111,,2,2,,,18.3,,,,,,
Kutzerow,09/05/2020,,,13:30:00,CL,VH59011,n,2433,MS,m,a,11.7,116,,3,2,,,21.2,,,,,,
Kutzerow,09/05/2020,,,13:30:00,CL,VH59012,n,2431,MS,NA,a,11.1,112,,2,2,,,22.5,,,,,,
Kutzerow,09/05/2020,,,13:45:00,CL,ZI13771,n,2442,RS,f,a,11.6,121,,2,2,,46.1,21.4,,,,,,
Kutzerow,09/05/2020,,,14:00:00,CL,ZI13772,n,NA,RS,m,a,11.4,125,,2,1,,58.2,18.2,,,,,,
Kutzerow,09/05/2020,,,14:15:00,CL,ZI13773,n,2429,RS,m,a,11.4,124,,2,1,,58.2,19.8,,,,,,
Kutzerow,09/05/2020,,,14:45:00,CL,VH59013,n,2455,MS,m,a,11.5,112,,2,3,,,19.9,,,,,,
Kutzerow,09/05/2020,,,14:55:00,CL,VH59014,n,2428,MS,m,a,11.7,108,,2,3,,,22.3,,,,,,
Kutzerow,09/05/2020,,,15:25:00,CL,VH59015,n,2445,MS,m,a,11.4,114,,2,2,,,21,,,,,,
Kutzerow,09/05/2020,,,,CL,VH59016,n,NA,MS,m,a,11.7,115,,2,2,,,18.2,,,,,,
Kutzerow,09/05/2020,,,,CL,VH59017,n,2427,MS,m,a,11.5,109,,2,2,,,21,,,,,,
