location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,choane,ectoparasites,comments
Falkenhagen,24/05/2019,,,09:40,CL,VH59006,n,2259,MS,m,a,11,113,NA,2,2,NA,NA,17,y,n,y,y,,
Falkenhagen,24/05/2019,,,10:12,CL,VH59007,n,2262,MS,m,a,12.3,115,NA,2,2,NA,NA,20,NA,NA,NA,NA,,
Falkenhagen,24/05/2019,,,10:52,CL,VH59008,n,NA,MS,f,a,11.7,114,NA,3,2,NA,NA,22.5,NA,NA,NA,NA,,
Falkenhagen,24/05/2019,,,11:15,CL,VH59009,n,2125,MS,m,a,11.7,114,NA,2,2,NA,NA,21,NA,NA,NA,NA,,
Dedelow-MS ,26/08/2019,,30,16:45,CL,ZI13750,n,2190,MS,m,a,11.1,111,NA,3,2,65.3,18.7,20,NA,n,NA,NA,,
Dedelow-MS ,26/08/2019,,30,17:15,CL,ZI13751,n,2191,MS,f,a,10.7,117,NA,3,2,68.9,21.4,20,NA,n,NA,NA,,
Dedelow-MS ,26/08/2019,,30,17:50,CL,ZI13752,n,2284,MS,m,a,11,111,NA,3,2,57.6,13.8,19.5,NA,n,NA,NA,,
Dedelow-MS ,26/08/2019,,30,17:50,CL,ZI13753,n,2275,MS,m,a,11.4,108,NA,3,2,64.8,19.4,20,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,08:54,CL,ZI13754,n,2245,MS,m,j,11.9,111,NA,2,2,NA,NA,19,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,09:15,CL,ZI13755,n,2225,MS,m,a,11.7,109,NA,3,2,NA,NA,20,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,09:41,CL,ZI13756,n,2232,RS,m,a,11.7,127,NA,2,2,111.5,60.4,21.5,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,10:00,CL,ZI13757,n,2237,MS,m,a,11.8,110,NA,2,2,67,18.2,19.5,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,10:27,CL,ZI13758,n,2228,MS,f,a,12.2,114,NA,2,2,65.4,16.2,20,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,10:40,CL,ZI13759,n,2283,MS,f,a,11.5,105,NA,3,2,66.1,15.6,19,NA,n,NA,NA,,"grauer Hals, Foto dazu?"
Dedelow-MS ,01/09/2019,,,11:10,CL,ZI13760,n,2235,MS,m,a,11.9,109,NA,3,2,60.6,12.1,18.5,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,11:24,CL,ZI13761,n,2233,MS,m,a,11.7,110,NA,3,2,66.2,14.9,20.5,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,11:40,CL,ZI13762,n,2231,MS,m,a,11.4,111,NA,3,3,64.1,12.1,20,NA,n,NA,NA,,kahler Fleck
Dedelow-MS ,01/09/2019,,,13:55,CL,ZI13763,n,2236,RS,f,a,11.9,121,NA,3,2,77.3,32.6,20,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,14:00,CL,ZI13764,n,2220,RS,m,a,10.6,125,NA,3,2,119.6,63.2,21,NA,n,NA,NA,,
Dedelow-MS ,01/09/2019,,,14:30,CL,ZI13765,n,2218,RS,m,a,11.4,125,NA,3,2,98.6,53.8,21,,,,,,Check Geschlecht!!!
Dedelow-MS ,01/09/2019,,,14:36,CL,ZI13766,n,2184,RS,f,a,11.5,121,NA,3,2,99.9,47,23,,,,,,
Dedelow-MS ,01/09/2019,,,15:10,CL,ZI13767,n,2226,RS,f,a,11.8,122,NA,3,2,84.3,33.3,23,,,,,,ohne Brutfleck
Ferdinandshof,23/05/2019,,,19:30,WU,PC35845,n,NA,Haussperling,f,a,18.8,74,NA,3,2,NA,NA,28,y,n,y,y,,
Ferdinandshof,23/05/2019,,,19:15,WU,PC35846,n,NA,Haussperling,f,a,18.4,76,NA,3,2,NA,NA,32,y,n,y,y,,
Ferdinandshof,23/05/2019,,,19:00,WU,PC35809,n,NA,Feldsperling,NA,a,17.8,67,NA,1,1,NA,NA,21.5,y,n,y,y,,
Ferdinandshof,23/05/2019,,,18:00,WU,ZI13800,n,NA,RS,f,a,10.9,125,NA,2,2,NA,NA,22,y,n,y,y,,
Ferdinandshof,23/05/2019,,,18:30,WU,VH59004,n,NA,Goldammer,NA,a,20,84,NA,1,2,NA,NA,23,y,n,y,y,,
Ferdinandshof,23/05/2019,,,19:00,WU,VH59005,n,NA,Goldammer,f,a,20.1,99,NA,1,2,NA,NA,31,y,n,y,y,,
