location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,choane,ectoparasites,comments
Dedelow-MS,26/05/2021,mix,15,12:07:00,ES,VH59048,y,NA,MS,m,a,11.3,108,84,1,3,57,NA,18.3,,,,,,
Dedelow-MS,26/05/2021,mix,15,12:17:00,CL,VH80351,n,NA,MS,m,a,11.3,112,85,1,1,51,NA,16.6,y,,y,y,,
Dedelow-MS,26/05/2021,mix,15,12:20:00,ES,VH80352,n,NA,MS,m,a,11.2,112,87,1,2,55,NA,17.8,y,,y,y,,
Dedelow-MS,26/05/2021,mix,15,12:21:00,SKS,VH80353,n,NA,MS,m,a,11.2,110,83,1,1,61,NA,17.1,,,,,,
Dedelow-MS,26/05/2021,mix,15,12:34:00,ES,VH80354,n,NA,MS,f,a,11.4,114,90,2,2,52,NA,18,,,,,LF,
Dedelow-MS,26/05/2021,mix,15,12:35:00,BE,VH80413,y,NA,MS,m,a,11.6,112,85,2,3,60,NA,17.9,y,,y,y,LF,
Dedelow-MS,26/05/2021,mix,15,12:41:00,MG,ZI13617,y,NA,MS,m,a,11.2,114,93,1,2,56,NA,18.6,y,,,,LF,
Dedelow-MS,26/05/2021,mix,15,12:50:00,BE,VH80355,n,NA,MS,m,a,11.1,112,86,2,2,61,NA,17.4,,,,,,
Dedelow-MS,26/05/2021,mix,15,13:00:00,BE,VH80356,n,NA,MS,NA,NA,11.3,115,86,2,2,62,NA,19,,,,,LF,ungültig? Bitte prüfen
Dedelow-MS,26/05/2021,mix,15,13:07:00,CL,VH80357,n,NA,MS,m,a,11.4,113,88,2,2,54,NA,18.4,,,,,,
Dedelow-MS,26/05/2021,mix,15,13:44:00,BE,VH80359,n,NA,MS,m,a,11.2,112,83,2,1,56,NA,18.6,y,,,,,
Dedelow-MS,26/05/2021,mix,15,13:48:00,MG,VH80360,n,NA,MS,m,a,11.3,110,84,1,2,58,NA,19.8,y,,,,,
Dedelow-MS,26/05/2021,mix,15,13:55:00,BE,VH59065,y,NA,MS,m,a,11.1,111,87,1,1,60,NA,18.6,,,,,,
Dedelow-MS,26/05/2021,mix,15,13:58:00,ES,ZI13623,y,NA,MS,m,a,11.4,113,87,1,1,56,NA,19,y,,,,,
Dedelow-MS,26/05/2021,mix,15,14:04:00,NA,VH80348,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,14:08:00,NA,VH80351,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,14:10:00,MG,VH80361,n,NA,MS,f,a,11.2,110,80,3,3,62,NA,20,,,,,,
Dedelow-MS,26/05/2021,mix,15,14:15:00,ES,VH80362,n,NA,MS,m,a,11.6,110,86,2,3,56,NA,19.4,,,,,LF,
Dedelow-MS,26/05/2021,mix,15,14:24:00,ES,VH80363,n,NA,MS,m,a,11.1,112,84,1,2,54,NA,19.6,,,,,,
Dedelow-MS,26/05/2021,mix,15,14:24:30,SKS,VH59048,y,NA,MS,m,a,11.4,111,81,2,2,57,NA,20,,,,,,
Dedelow-MS,26/05/2021,mix,15,14:33:00,SKS,VH59070,y,NA,MS,m,a,11.2,112,81,3,3,57,NA,19.8,y,,,,,Loch in Schwingfeder
Dedelow-MS,26/05/2021,mix,15,14:35:00,CL,VH80427,y,NA,MS,f,a,10.9,111,85,3,3,57,NA,18.6,,,,,,
Dedelow-MS,26/05/2021,mix,15,14:39:00,ES,VH80364,n,NA,MS,f,a,11.4,111,87,2,2,62,NA,19.5,y,,,,,
Dedelow-MS,26/05/2021,mix,15,14:48:00,SKS,VH80365,n,NA,MS,m,a,11.4,110,78,2,2,56,NA,19.2,,,,,,
Dedelow-MS,26/05/2021,mix,15,14:48:30,MG,VH80366,n,NA,MS,m,a,11.2,113,87,3,2,61,NA,19.3,y,,,,,
Dedelow-MS,26/05/2021,mix,15,14:50:00,BE,VH59047,y,NA,MS,m,a,11.1,113,86,1,2,60,NA,20.5,,,,,,
Dedelow-MS,26/05/2021,mix,15,14:56:00,MG,VH59072,y,NA,MS,f,a,11.1,114,84,2,3,55,NA,21.2,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:00:00,CS,ZI13621,y,NA,MS,f,a,11.2,111,87,2,2,58,NA,20.1,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:02:00,SKS,VH59100,y,NA,MS,f,a,11.5,115,89,2,2,56,NA,19.2,,,,,LF,
Dedelow-MS,26/05/2021,mix,15,15:08:00,CS,VH80367,n,NA,MS,m,a,11.4,117,88,1,1,59,NA,17.2,,,,,LF,
Dedelow-MS,26/05/2021,mix,15,15:12:00,MG,VH80423,y,NA,MS,f,a,11.1,113,88,3,3,61,NA,19.9,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:14:00,CL,VH80368,n,NA,MS,f,a,11.2,109,84,3,3,58,NA,18.6,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:16:00,ES,VH59077,y,NA,MS,m,a,11.5,111,85,3,2,64,NA,19,y,,,,,
Dedelow-MS,26/05/2021,mix,15,15:18:00,CS,ZI13624,n,NA,MS,f,a,11.4,109,83,3,2,60,NA,21.8,,,,,LF,
Dedelow-MS,26/05/2021,mix,15,15:22:00,MG,VH80409,y,NA,MS,f,a,11.2,109,84,3,3,57,NA,18.8,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:25:00,ES,VH80369,n,NA,MS,f,a,11.2,109,85,3,2,55,NA,18.1,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:27:00,MG,ZI13762,y,NA,MS,m,a,11.1,113,86,3,3,56,NA,17.7,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:30:00,MG,VH80348,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,15:41:00,BE,VH80370,n,NA,MS,f,a,11.2,112,84,3,2,60,NA,19,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:45:00,CL,VH80347,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF
Dedelow-MS,26/05/2021,mix,15,15:45:30,CL,VH80371,n,NA,MS,m,a,11.8,114,87,2,2,65,NA,18.8,y,,,,LF,
Dedelow-MS,26/05/2021,mix,15,15:50:00,BE,,n,NA,MS,f,a,11.1,116,87,3,3,58,NA,21.5,,,,,,
Dedelow-MS,26/05/2021,mix,15,15:55:00,CL,VH80366,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,15:55:30,MG,VH80414,y,NA,MS,m,a,11.2,110,84,2,2,63,NA,20.4,y,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,16:00:00,CS,VH80373,n,NA,MS,m,a,11.5,111,83,2,2,54,NA,20.2,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,16:02:00,ES,VH80374,n,NA,MS,f,a,11.2,105,82,2,3,55,NA,20.9,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,16:05:00,SKS,VH80375,n,NA,MS,m,a,11.4,112,88,1,1,60,NA,19.3,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,16:12:00,CL,VH80376,n,NA,MS,f,a,11.2,111,86,3,1,63,NA,21.4,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,16:14:00,CS,VH80365,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,16:25:00,MG,VH59047,y,NA,MS,m,a,11,111,85,3,3,58,NA,20.2,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,16:26:00,CL,ZI13617,y,NA,MS,m,a,11.8,112,89,2,1,64,NA,NA,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,16:32:00,MG,VH59059,y,NA,MS,f,a,11.1,112,85,3,3,60,NA,21.2,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,16:35:00,CL,ZI13624,y,NA,MS,f,a,11.8,109,83,3,3,63,NA,21.9,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,16:39:00,MG,ZI13604,y,NA,MS,f,a,11.1,113,86,3,3,56,NA,20.9,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,16:40:00,CS,VH59057,y,NA,MS,m,a,11.4,111,84,2,2,58,NA,19.3,y,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,16:44:00,MG,ZI13615,y,NA,MS,f,a,11.1,109,82,3,2,56,NA,22.1,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,16:49:00,ES,VH59100,y,NA,MS,f,a,11.3,114,80,3,2,59,NA,19.2,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,16:52:00,CL,VH80377,n,NA,MS,f,a,11.8,111,85,3,3,62,NA,20.7,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,17:05:00,ES,VH80347,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,17:09:00,CL,VH59077,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,17:13:00,CL,ZI13613,y,NA,MS,m,a,11.5,109,82,2,2,59,NA,19.8,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,17:16:00,CL,ZI13757,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,17:18:00,CS,VH80378,n,NA,MS,m,a,12,115,90,2,2,63,NA,21.5,y,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,17:27:00,ES,VH59074,y,NA,MS,m,a,11.5,113,88,2,2,64,NA,16.7,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,17:30:00,CL,VH80379,n,NA,MS,f,a,11.8,115,87,2,2,66,NA,19.9,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,17:34:00,CL,VH80380,n,NA,MS,f,a,11.4,110,82,3,3,59,NA,20,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,17:40:00,CL,VH80381,n,NA,MS,m,a,11.9,112,87,3,3,55,NA,20.3,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,17:41:00,ES,VH59052,y,NA,MS,f,a,11.2,109,85,2,2,63,NA,19.9,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,17:42:00,CL,VH80382,n,NA,MS,f,a,11,110,85,3,2,62,NA,19.9,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,17:48:00,ES,VH80383,n,NA,MS,f,a,11.4,113,84,2,3,59,NA,22,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,17:49:00,CL,VH59051,y,NA,MS,f,a,11,111,86,3,3,61,NA,19.8,n,n,n,n,,
Dedelow-MS,26/05/2021,mix,15,17:55:00,CL,VH80348,y,NA,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-MS,26/05/2021,mix,15,17:55:30,CL,VH80384,n,NA,MS,m,a,11.7,114,90,2,1,61,NA,20.9,n,n,n,n,LF,
Dedelow-MS,26/05/2021,mix,15,17:59:00,ES,VH59071,y,NA,MS,m,a,11.5,112,86,1,2,56,NA,18,n,n,n,n,,
Kutzerow,27/05/2021,mix,,12:11:00,CL,VH80386,n,NA,MS,m,a,11.1,113,83,2,2,59,NA,19.2,n,n,n,n,,
Kutzerow,27/05/2021,,,12:11:30,CL,VH803385,n,NA,MS,m,a,11.4,114,84,2,2,58,NA,18.9,n,n,n,n,,
Kutzerow,27/05/2021,,,12:12:00,MG,VH80387,n,NA,MS,m,a,11.1,111,85,2,2,56,NA,18.3,n,n,n,n,,
Kutzerow,27/05/2021,,,12:29:00,MG,VH80388,n,NA,MS,f,a,11.1,109,82,3,2,60,NA,20.5,n,n,n,n,,
Kutzerow,27/05/2021,,,13:09:00,CS,VH80389,n,NA,MS,f,a,11.1,118,89,2,2,59,NA,18.3,n,n,n,n,,
Kutzerow,27/05/2021,,,13:12:00,ES,VH80390,n,NA,MS,f,a,11.5,107,82,2,2,60,NA,18.2,n,n,n,n,,
Kutzerow,27/05/2021,,,13:56:00,CL,VH80391,n,NA,MS,f,a,11.5,110,86,2,1,59,NA,19.9,n,n,n,n,,
Kutzerow,27/05/2021,,,13:59:00,CL,VH59018,y,NA,MS,m,a,11.8,109,85,2,1,61,NA,19.4,y,n,n,n,,
Kutzerow,27/05/2021,,,14:06:00,CS,VH80392,n,NA,MS,f,a,11.4,113,85,2,1,59,NA,19,n,n,n,n,,
Kutzerow,27/05/2021,,,14:08:00,CL,VH80393,n,NA,MS,f,a,11.4,110,84,1,2,59,NA,19.1,n,n,n,n,,
Kutzerow,27/05/2021,,,14:13:00,CS,VH80394,n,NA,MS,f,a,11.3,114,87,1,1,59,NA,17.7,n,n,n,n,,
Kutzerow,27/05/2021,,,14:17:00,CS,VH80395,n,NA,MS,f,a,11.3,111,85,2,2,62,NA,19,n,n,n,n,,
Kutzerow,27/05/2021,,,14:20:00,LS,VH80396,n,NA,MS,f,a,11.9,111,85,2,1,57,NA,20.1,n,n,n,n,,
Kutzerow,27/05/2021,,,14:32:00,LS,VH80397,n,NA,MS,m,a,11.8,114,88,2,3,57,NA,20.4,n,n,n,n,,
Kutzerow,27/05/2021,,,14:33:00,CS,VH80398,n,NA,MS,m,a,11.1,111,87,1,2,55,NA,18.3,n,n,n,n,,
Kutzerow,27/05/2021,,,14:39:00,CS,VH80400,n,NA,MS,f,a,10.7,109,84,1,1,56,NA,17.3,n,n,n,n,,
Kutzerow,27/05/2021,,,14:42:00,CL,VH80399,n,NA,MS,m,a,11.3,114,86,2,3,59,NA,20.2,y,n,n,n,,
