location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,choane,ectoparasites,comments
Dedelow-RS,25/05/2021,rain,14,12:00:00,CL,VH80301,n,NA,RS,m,a,11.2,124,98,1,1,NA,66.3,18.5,,,,,n,
Dedelow-RS,25/05/2021,rain,14,12:10:00,CL,ZI1365,y,NA,RS,m,a,11.2,125,100,1,1,128,50.1,20,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,12:15:00,CL,VH80302,n,NA,RS,f,a,11.4,123,95,1,1,87.5,46.6,18.6,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,12:20:00,CL,VH80303,n,NA,RS,f,a,11,121,98,2,1,88,47.9,20.7,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,12:26:00,SKS,ZI13684,y,NA,RS,f,a,11.2,125,99,2,1,87,46.7,21.6,,,,,n,
Dedelow-RS,25/05/2021,rain,14,12:37:00,SKS,VH80304,n,NA,RS,m,a,11.3,126,100,1,1,111,60.8,19.4,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,12:38:00,CL,ZI13632,y,NA,RS,m,a,11.4,118,90,1,1,118,64,22.2,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,12:50:00,SKS,VH80305,n,NA,RS,m,a,12.2,125,97,1,1,100,61.7,18.5,,,,,LF,verkotet
Dedelow-RS,25/05/2021,rain,14,12:52:00,CL,VH80306,y,NA,RS,f,a,12.3,126,98,3,2,86,46,21.8,y,,y,y,NA,
Dedelow-RS,25/05/2021,rain,14,13:03:00,SKS,ZI13648,y,NA,RS,f,a,11.3,NA,NA,5,2,NA,NA,21.6,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,13:09:00,CL,VH80307,n,NA,RS,f,a,12.5,125,97,2,1,87,40,20.1,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,13:10:00,SKS,VH80308,n,NA,RS,m,a,10.6,124,93,1,1,98,61,16.7,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,13:15:00,CL,VH80309,n,NA,RS,f,a,11,128,100,2,2,90,45,20.8,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,13:18:00,SKS,VH80310,n,NA,RS,f,a,11.6,122,92,1,1,86,40,19.9,,,,,n,
Dedelow-RS,25/05/2021,rain,14,13:20:00,CL,VH80311,n,NA,RS,m,a,11.4,127,96,1,1,92,52,18.3,,,,,n,
Dedelow-RS,25/05/2021,rain,14,13:22:00,CL,ZI13495,y,NA,RS,f,a,11.8,NA,NA,1,1,NA,NA,21,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,13:29:00,SKS,LX7414,y,NA,RS,f,a,11.4,NA,NA,1,1,NA,NA,21.8,,,,,n,
Dedelow-RS,25/05/2021,rain,14,13:33:00,CL,VH80312,n,NA,RS,f,a,11.5,128,96,2,2,91,46,21.3,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,13:35:00,SKS,VH80313,n,NA,RS,f,a,11.3,125,99,4,2,89,47,22,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,13:37:00,SKS,VH80314,n,NA,RS,m,a,11.5,121,99,1,1,84,45,17.4,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,13:38:00,CL,ZI13665,y,NA,RS,m,a,11.5,NA,NA,1,2,NA,NA,17.3,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,13:45:00,CL,VH80315,n,NA,RS,f,a,11.9,124,94,1,1,87,48,19.8,,,,,n,
Dedelow-RS,25/05/2021,rain,14,13:47:00,CL,VH80318,n,NA,RS,f,a,11.5,128,100,3,2,101,54,17.5,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,13:47:30,SKS,VH80317,n,NA,RS,f,a,11.8,123,91,2,1,89,47,22.2,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,13:55:00,SKS,VH80319,n,NA,RS,f,a,12,122,97,1,1,78,39,19,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,13:58:00,CL,VH80320,n,NA,RS,m,a,11,122,96,1,1,106,66,15.8,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,14:13:00,LS,VH80321,n,NA,RS,m,a,11.3,121,97,1,3,93,56,18.9,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,14:22:00,CL,VH80322,n,NA,RS,f,a,10.7,122,79,1,2,94,38.4,22.7,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,14:25:00,CL,VH80323,n,NA,RS,m,a,11,125,97,1,1,89,56,19.9,y,y,y,y,NA,
Dedelow-RS,25/05/2021,rain,14,14:31:00,SKS,VH80324,n,NA,RS,f,a,11.2,122,91,3,2,85,41,22.3,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,14:39:00,CL,VH80325,n,NA,RS,f,a,11.7,122,93,1,1,82,41,18.4,y,y,y,y,LF,
Dedelow-RS,25/05/2021,rain,14,14:42:00,SKS,VH80326,n,NA,RS,m,a,11.3,123,92,2,2,94,57,19,y,y,y,y,LF,
Dedelow-RS,25/05/2021,rain,14,14:46:00,SKS,VH80305,y,NA,RS,m,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-RS,25/05/2021,rain,14,14:53:00,ES,ZI13662,y,NA,RS,f,a,11.2,127,101,2,2,91,44,20.3,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,14:53:30,SKS,VH80307,y,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LF,Tagesfang
Dedelow-RS,25/05/2021,rain,14,14:56:00,SKS,VH59087,y,NA,RS,f,a,11.8,NA,NA,3,2,NA,NA,21.7,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,15:01:00,CL,LX7407,y,NA,RS,m,a,11,NA,NA,1,1,NA,NA,19.9,y,y,y,y,LF,viele LF
Dedelow-RS,25/05/2021,rain,14,15:02:00,LS,VH59083,y,NA,RS,f,a,11,NA,NA,1,1,NA,NA,20.4,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,15:08:00,SKS,VH80327,n,NA,RS,f,a,11.7,128,95,3,2,80,32,21.8,y,n,y,y,NA,
Dedelow-RS,25/05/2021,rain,14,15:16:00,LS,VH80329,n,NA,RS,m,a,11.1,128,99,1,2,NA,NA,NA,,,,,NA,entflogen
Dedelow-RS,25/05/2021,rain,14,15:17:00,CS,VH80328,n,NA,RS,m,a,11.4,124,97,4,2,100,60,20.6,y,n,y,y,NA,Federling
Dedelow-RS,25/05/2021,rain,14,15:22:00,CS,VH80330,n,NA,RS,f,a,11.3,125,97,1,1,86,41,21.1,,,,,NA,bissig
Dedelow-RS,25/05/2021,rain,14,15:26:00,LS,VH80305,y,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-RS,25/05/2021,rain,14,15:27:00,LS,VH80331,n,NA,RS,m,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ring nicht vergeben, Fuß fehlt"
Dedelow-RS,25/05/2021,rain,14,15:30:00,CS,ZI13787,y,NA,RS,m,a,11.5,NA,NA,1,2,NA,NA,18.6,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,15:36:00,CS,VH80308,y,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-RS,25/05/2021,rain,14,15:38:00,CS,VH80332,n,NA,RS,m,a,11.4,122,91,1,2,90,66,17.9,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,15:42:00,CL,VH80333,n,NA,RS,m,a,11.1,127,95,1,2,106,65,18.4,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,15:45:00,CL,VH80334,n,NA,RS,f,a,11.6,125,101,1,1,89,50,18.4,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,15:47:00,LS,ZI13684,y,NA,RS,f,a,12.5,NA,NA,1,1,NA,NA,21.1,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,15:50:00,SKS,VH80335,n,NA,RS,f,a,11.3,125,90,2,2,92,44,19.7,y,n,y,y,LF,viele LF
Dedelow-RS,25/05/2021,rain,14,15:51:00,CL,ZI13795,y,NA,RS,f,a,NA,NA,NA,1,1,NA,NA,20.3,,,,,NA,
Dedelow-RS,25/05/2021,rain,14,15:52:00,CL,VH80337,n,NA,RS,m,a,11.2,125,96,1,1,113,62,20,y,n,y,y,NA,
Dedelow-RS,25/05/2021,rain,14,15:53:00,CS,VH80336,n,NA,RS,f,a,11.1,126,98,3,1,91,47,22.1,,,,,,
Dedelow-RS,25/05/2021,rain,14,16:20:00,MG,PC35817,y,NA,PD,m,a,18.7,78,NA,2,2,NA,NA,25.8,n,n,n,n,NA,Passer domesticus (house sparrow)
Dedelow-RS,25/05/2021,rain,14,16:20:30,SKS,ZI13672,y,NA,RS,f,a,11.6,NA,NA,4,2,NA,NA,23.6,,,,,LF,
Dedelow-RS,25/05/2021,rain,14,16:26:00,SKS,VH80336,n,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-RS,25/05/2021,rain,18,16:31:00,CL,VH80338,n,NA,RS,f,a,11.8,124,97,2,2,96,46,20.9,,,,,LF,
Dedelow-RS,25/05/2021,rain,18,16:33:00,CL,VH59083,y,NA,RS,f,a,11,NA,NA,3,2,NA,NA,NA,,,,,NA,
Dedelow-RS,25/05/2021,rain,18,16:35:00,CL,VH80319,y,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-RS,25/05/2021,rain,18,16:36:00,CL,VH80339,n,NA,RS,m,a,11.4,124,96,2,2,125,78,21.4,y,n,y,y,NA,
Dedelow-RS,25/05/2021,rain,18,16:44:00,SKS,VH80340,n,NA,RS,m,a,11.7,125,93,1,1,93,56,20.4,y,,y,y,NA,
Dedelow-RS,25/05/2021,rain,18,16:45:00,CL,VH80341,n,NA,RS,f,a,11.3,123,95,3,2,88,44,21.2,,,,,LF,
Dedelow-RS,25/05/2021,rain,18,16:46:00,ES,IX7407,y,NA,RS,m,a,11.2,NA,NA,1,1,NA,NA,20.8,,,,,LF,
Dedelow-RS,25/05/2021,rain,18,16:48:00,CL,VH80342,n,NA,RS,f,a,11.2,123,94,3,2,85,38,23.2,,,,,,
Dedelow-RS,25/05/2021,rain,18,16:50:00,SKS,ZI13669,y,NA,RS,f,a,11.8,NA,NA,2,2,NA,NA,22.5,,,,,,
Dedelow-RS,25/05/2021,rain,18,16:57:00,SKS,VH80343,y,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-RS,25/05/2021,rain,18,17:09:00,CL,VH80336,y,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-RS,25/05/2021,rain,18,17:10:00,ES,VH80344,n,NA,RS,f,a,11.6,122,92,2,2,81,38,NA,,,,,,
Dedelow-RS,25/05/2021,rain,18,17:15:00,NA,VH80317,y,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tagesfang
Dedelow-RS,25/05/2021,rain,18,17:15:30,NA,VH80345,n,NA,RS,f,a,11.4,128,99,3,2,95,51,23.7,,,,,,
Dedelow-RS,25/05/2021,rain,18,17:20:00,NA,ZI13627,y,NA,RS,m,a,NA,NA,NA,1,2,NA,NA,20.3,,,,,,
Dedelow-RS,25/05/2021,rain,18,17:20:30,NA,VH59089,y,NA,RS,m,a,NA,NA,NA,1,2,NA,NA,20,,,,,,
Dedelow-RS,25/05/2021,rain,18,17:21:00,NA,VH80346,n,NA,RS,m,a,11.3,120,96,2,2,108,77,NA,,,,,,
Dedelow-RS,25/05/2021,rain,18,17:23:00,NA,ZI13795,y,NA,RS,f,a,NA,NA,NA,1,2,NA,NA,20.9,,,,,,
Dedelow-MS,26/05/2021,mix,10,11:04:00,SKS,VH80426,y,NA,MS,m,a,11.2,111,86,2,2,60,NA,17.2,y,,y,y,LF,viele LF
Dedelow-MS,26/05/2021,mix,15,11:13:00,CL,VH59068,y,NA,MS,m,a,11.1,114,85,1,1,56.5,NA,17.2,,,,,LF,viele LF
Dedelow-MS,26/05/2021,mix,15,11:17:00,SKS,VH59975,y,NA,MS,m,a,11.4,114,88,1,1,60,NA,19.6,,,,,LF,
Dedelow-MS,26/05/2021,mix,15,11:19:00,CL,VH80347,n,NA,MS,m,a,11.3,119,90,2,3,64,NA,19.8,y,,,,,
Dedelow-MS,26/05/2021,mix,15,11:30:00,SKS,ZI13757,y,NA,MS,m,a,11.2,115,85,1,1,57,NA,17.9,,,,,,
Dedelow-MS,26/05/2021,mix,15,11:39:00,SKS,VH80348,n,NA,MS,f,a,11.2,118,85,2,1,61,NA,19.1,,,,,,
Dedelow-MS,26/05/2021,mix,15,11:47:00,ES,ZI13755,n,NA,MS,m,a,11.7,110,80,1,2,63,NA,18,,,,,,
Dedelow-MS,26/05/2021,mix,15,11:56:00,SKS,VH80349,n,NA,MS,m,a,11.3,118,79,1,1,55,NA,19,y,,,,,
Dedelow-MS,26/05/2021,mix,15,12:02:00,SKS,VH80350,n,NA,MS,m,a,11.3,111,80,1,1,56,NA,19.1,,,,,,
