location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,choane,feather,ectoparasites,comments
Dedelow-RS,10/06/2022,,,10:49:00,CL,ZK22683,n,,RS,f,a,12.1,128,99,3,1,88,45,19.6,y,n,y,y,n,,loosing lots of blood
Dedelow-RS,10/06/2022,,,10:53:00,MG,ZK22685,n,,RS,?,a,11.2,124,94,3,1,106,70,18.9,y,n,n,n,n,,
Dedelow-RS,10/06/2022,,,11:01:00,CS,ZK22686,n,,RS,f,a,11.7,125,97,3,2,88,41,18.7,n,y,n,n,n,LF+,
Dedelow-RS,10/06/2022,,,11:06:00,MG,ZK22650,y,,RS,,,,,,2,1,,,20.6,,,,,,,
Dedelow-RS,10/06/2022,,,11:10:00,CS,ZK22614,y,,RS,,,,,,2,3,,,18.9,,,,,,,
Dedelow-RS,10/06/2022,,,11:10:00,MG,ZK22688,n,,RS,m,a,10.6,126,101,1,1,125,83,17.5,y,n,n,n,y,,
Dedelow-RS,10/06/2022,,,11:19:00,CL,ZK22690,n,,RS,f,a,10.5,122,94,2,2,90,45,18.6,n,y,n,n,n,LF,
Dedelow-RS,10/06/2022,,,11:20:00,MG,ZK22691,n,2710,RS,f,a,11.2,122,95,2,2,95,55,19,y,n,y,y,y,LF,
Dedelow-RS,10/06/2022,,,11:45:00,CS,ZK22621,y,,RS,f,a,,,,4,2,,,22.5,n,n,n,n,n,,
Dedelow-RS,10/06/2022,,,11:49:00,MG,ZK22637,y,,,,,,,,2,2,,,19.5,n,y,n,n,n,,
Dedelow-RS,10/06/2022,,,11:49:00,EH,VH80343,y,,RS,f,a,11.1,129,96,5,2,91,52,21.5,n,n,y,y,y,,
Dedelow-RS,10/06/2022,,,11:55:00,MG,ZK22692,n,,RS,f,a,11.6,125,100,4,2,93,49,21.3,y,n,n,n,y,,
Dedelow-RS,10/06/2022,,,12:06:00,MG,VH80543,y,2723,MS,,,,,,,,,,20.3,n,n,n,n,n,,
Dedelow-RS,10/06/2022,,,10:38:00,SKS,ZK22621,y,2703,RS,,,,,,,,,,,,,,,,LF,2703 in Klammern
Dedelow-RS,10/06/2022,,,10:45:00,SKS,ZK22608,y,,RS,,,,,,,,,,19.8,,,,,,,
Dedelow-RS,10/06/2022,,,10:49:00,SKS,ZK22684,n,,RS,m,a,11.9,129,97,2,2,113,68,18.6,y,n,y,n,y,,
Dedelow-RS,10/06/2022,,,11:02:00,SKS,ZK22638,y,,RS,f,a,,,,,,,,,,,y,,,LF,
Dedelow-RS,10/06/2022,,,11:05:00,SKS,ZK22687,n,,RS,m,a,10.9,126,97,2,1,100,55,16.4,n,n,n,n,n,LF,
Dedelow-RS,10/06/2022,,,11:12:00,SKS,ZK22689,n,,RS,f,a,11.3,124,93,2,1,85,43,19.7,y,n,y,n,y,,feather holes
Dedelow-RS,10/06/2022,,,11:23:00,SKS,ZK22673,y,,RS,,,,,,,,,,,,,,,,,
Dedelow-RS,10/06/2022,,,11:26:00,SKS,ZK22625,y,,RS,,,,,,4,2,,,23.7,y,y,n,n,y,,
Dedelow-RS,10/06/2022,,,11:55:00,SKS,ZK22631,y,,RS,,,,,,,,,,18.8,y,y,n,n,n,,
Dedelow-RS,10/06/2022,,,12:03:00,CL,VH80510,y,,MS,,,,,,3,3,,,20,,,,,,,
Dedelow-RS,10/06/2022,,,12:03:00,SKS,ZK22655,y,,RS,,,,,,,,,,18.8,,,,,,,
Dedelow-RS,10/06/2022,,,12:05:00,SKS,ZI13633,y,,RS,m,a,11.6,130,100,3,3,120,84,18.4,y,n,y,y,y,,ringed left
Dedelow-RS,10/06/2022,,,12:25:00,SKS,ZK22693,n,,RS,m,a,11.6,125,95,3,2,103,66,19.2,y,y,y,y,y,,holes in tail feathers
Dedelow-RS,10/06/2022,,,12:44:00,SKS,ZK22696,n,,RS,m,a,11.3,119,88,3,2,95,56,19.3,,,,,,,
Dedelow-RS,10/06/2022,,,12:49:00,SKS,VH80475,y,,RS,m,a,10.6,124,96,3,3,112,71,18.5,y,y,y,y,y,LF,
Dedelow-RS,10/06/2022,,,13:14:00,ESol,ZK22687,y,,RS,m,a,10.7,125,97,2,2,99,63,17.4,,,,,,,
Dedelow-RS,10/06/2022,,,13:23:00,ESol,VH80334,y,,RS,f,a,10.2,124,101,2,1,89,54,17.7,,,,,,LF,
Dedelow-RS,10/06/2022,,,13:33:00,MG,VH80347,y,,MS,m,a,,,,2,2,,,20.4,,,,,,,
Dedelow-RS,10/06/2022,,,13:43:00,CS,ZK22625,y,,RS,f,a,,,,6,3,,,,,,,,,LF,
Dedelow-RS,10/06/2022,,,12:12:00,CS,VH80464,y,,MS,,,,,,3,2,,,20.3,,,,,,,Sender wieder abgenommen (ursprünglich 2724)
Dedelow-RS,10/06/2022,,,12:12:00,MG,VH80450,y,,MS,,,,,,3,2,,,20.1,,,,,,,
Dedelow-RS,10/06/2022,,,12:13:00,EH,VH80536,y,,MS,,,,,,5,3,,,19.3,,,,,,,
Dedelow-RS,10/06/2022,,,12:13:00,MG,ZI13672,y,,RS,f,a,,,,3,1,,,18.6,y,n,y,y,y,,
Dedelow-RS,10/06/2022,,,12:20:00,CL,ZK22652,y,,RS,,,,,,2,2,,,18.2,,,,,,,
Dedelow-RS,10/06/2022,,,12:30:00,MG,ZK22612,y,,RS,,,,,,2,1,,,18.1,,,,,,,
Dedelow-RS,10/06/2022,,,12:30:00,CL,ZK22671,y,,RS,,,,,,,,,,,n,y,n,n,n,,
Dedelow-RS,10/06/2022,,,12:32:00,MG,ZK22694,n,,RS,m,a,11.1,127,100,1,2,106,65,19.1,y,n,y,y,y,,
Dedelow-RS,10/06/2022,,,12:41:00,CL,ZK22695,n,,RS,m,a,11.3,124,95,2,2,113,66,18.3,y,n,y,y,n,,
Dedelow-RS,10/06/2022,,,12:50:00,CL,ZK22697,n,,RS,f,a,10.3,126,98,2,2,101,56,18.3,n,y,n,n,n,LF+,
Dedelow-RS,10/06/2022,,,12:53:00,MG,ZK22617,y,,RS,,,,,,,,,,19.3,n,n,n,n,n,,
Dedelow-RS,10/06/2022,,,12:55:00,CL,ZK22634,y,,RS,f,a,,,,2,2,,,18,y,n,y,y,n,,
Dedelow-RS,10/06/2022,,,12:59:00,MG,ZK22629,y,,RS,,,,,,4,2,,,23.1,n,n,y,n,n,,
Dedelow-RS,10/06/2022,,,13:02:00,MG,ZK22621,y,,RS,,,,,,4,2,,,23.1,,,,,,,
Dedelow-RS,10/06/2022,,,13:07:00,MG,ZK22698,n,,RS,m,a,11.2,130,104,1,1,128,83,19.8,y,n,y,y,n,LF,
Dedelow-RS,10/06/2022,,,13:07:00,CL,ZK22699,n,,RS,f,a,11,129,95,2,2,95,50,17.3,n,y,n,n,n,,
Dedelow-RS,10/06/2022,,,13:21:00,MG,ZK22636,y,,RS,m,a,,,,,,,,17,,,,,,,
Dedelow-RS,10/06/2022,,,13:30:00,CS,VH80359,y,,MS,m,a,,,,1,2,,,18.4,n,y,n,n,n,,
Dedelow-RS,10/06/2022,,,13:35:00,EH,ZK22700,n,,RS,m,a,11.2,130,102,2,2,102,64,19,,,,,,LF,"tail feather bend, small amount blood"
Dedelow-RS,10/06/2022,,,13:30:00,CS,VH80550,y,,MS,f,a,,,,4,3,,,,,,,,,,
Dedelow-RS,10/06/2022,,,13:35:00,MG,ZK22638,y,,RS,f,a,,,,3,1,,,19.3,,,,,,,
Dedelow-RS,10/06/2022,,,13:52:00,ESol,ZK22668,y,,RS,m,a,10.3,125,98,2,2,93,55,20.3,,,,,,,Steuerfeder fehlt
Dedelow-RS,10/06/2022,,,13:55:00,MG,ZK22673,y,,RS,,,,,,,,,,,,,y,y,,,
Dedelow-RS,10/06/2022,,,14:00:00,MG,ZK22612,y,,RS,,,,,,3,1,,,18.7,y,,,,,,
Dedelow-RS,10/06/2022,,,14:25:00,ESol,VH80478,y,,RS,m,a,11.5,127,101,2,2,116,75,19.5,,,,,,LF,
Dedelow-RS,10/06/2022,,,14:30:00,SKS,ZK22701,n,,RS,m,a,11,125,96,3,2,108,70,18.3,,,,,,,
Dedelow-RS,10/06/2022,,,14:35:00,SKS,VH80343,y,,RS,,,11.1,,,,,,,,,,y,,,,
Dedelow-RS,10/06/2022,,,14:40:00,ESol,VH80471,y,,RS,f,a,,,,3,2,,,19.6,,,y,y,y,,
Dedelow-RS,10/06/2022,,,14:45:00,SKS,VH80303,y,,RS,f,a,11.4,126,96,2,1,89,50,20,,,,y,y,,
Dedelow-RS,10/06/2022,,,14:50:00,ESol,ZK22653,y,,RS,,,,,,,,,,,,,,,,,
Dedelow-RS,10/06/2022,,,14:55:00,ESol,ZK22702,n,,RS,m,a,11.1,124,98,2,2,103,63,19.9,,,,,,,
Dedelow-RS,10/06/2022,,,15:00:00,MG,ZK22616,y,,RS,f,a,,,,3,2,,,21.6,y,n,y,y,y,LF,
,10/06/2022,,,15:00:00,ESol,ZK22647,y,,RS,f,a,,,,2,1,,,18.3,,y,y,y,,,
Dedelow-RS,10/06/2022,,,15:07:00,SKS,ZK22703,n,,RS,m,a,11.2,130,98,3,2,129,85,17.7,y,n,y,y,y,,holes in tail feathers
Dedelow-RS,10/06/2022,,,15:09:00,MG,VH80338,y,,RS,f,a,11.5,126,98,1,1,99,52,18.7,y,n,y,y,y,LF,
Dedelow-RS,10/06/2022,,,15:15:00,ESol,ZI13648,y,,RS,,,,,,3,2,,,21.3,,,,,,,
Dedelow-RS,10/06/2022,,,15:18:00,CL,ZK22621,y,,RS,,,,,,,,,,23.7,,,,,,,
Dedelow-RS,10/06/2022,,,15:22:00,CL,ZK22704,n,,RS,f,a,11.4,125,99,3,2,93,43,23.7,,,,,,LF+,
Dedelow-RS,10/06/2022,,,15:28:00,EH,ZK22705,n,,RS,m,a,11.2,129,98,1,1,110,67,18.6,y,n,n,n,n,LF,
Dedelow-RS,10/06/2022,,,15:46:00,EH,PC35820,n,,Spatz,m,a,17.9,79,54,4,2,,,28.4,,,,,,,Spatz
Dedelow-RS,10/06/2022,,,16:01:00,MG,ZK22642,y,,RS,,,,,,4,2,,,18.7,,,,,,,
