location,date,weather,temperature_celsius,time,ringer,ring_id,ring_recap,tag_id,species,sex,age,tars_mm,wing_mm,8prim_mm,fat,muscle,tail_mm,tail_fork_mm,weight_g,blood,faeces,cloaca,feather,choane,ectoparasites,comments
Dedelow-MS,06/06/2023,sunny,22,13:42:00,MG,VH80665,,,MS,f,a,11.2,111,87,2,2,,,20.8,y,,y,,y,,
Dedelow-MS,06/06/2023,sunny,22,13:54:00,MG,VH80586,y,,MS,,a,,,,,,,,21.4,,,,,,,wing feather worn out
Dedelow-MS,06/06/2023,sunny,22,13:55:00,MG,VH80505,y,,MS,,a,,,,,,,,16.1,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,13:57:00,MG,VH80600,y,,MS,,a,11.4,,,,,,,19.5,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,13:58:00,MG,VH80505,y,,MS,m,a,10.9,113,88,1,1,,,19,y,,y,,y,,
Dedelow-MS,06/06/2023,sunny,22,14:04:00,MG,VH80599,y,,MS,,a,10.7,,,,,,,21.3,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:04:00,MG,ZK56816,,,RS,f,a,10.8,128,98,3,2,89,30,19.9,y,,y,,y,,
Dedelow-MS,06/06/2023,sunny,22,14:09:00,MG,VH80576,y,,MS,,a,,,,,,,,19.1,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:09:00,MG,VH80509,y,,MS,,a,11.4,,,,,,,20.3,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:11:00,MG,VH80521,y,,MS,,a,,,,,,,,19.8,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:13:00,MG,VH80554,y,,MS,f,a,11.4,,,,,,,21,,,,,,,was tagted
Dedelow-MS,06/06/2023,sunny,22,14:14:00,MG,VH80663,y,,MS,,a,,,,,,,,21,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:15:00,MG,VH80666,,,MS,f,a,11.6,108,84,2,2,,,23.4,y,,y,,y,LF,
Dedelow-MS,06/06/2023,sunny,22,14:21:00,MG,ZK56817,,,RS,f,a,11.7,124,98,7,2,89,28,22.5,y,,y,,y,,
Dedelow-MS,06/06/2023,sunny,22,14:25:00,MG,VH80594,y,,MS,,a,11.4,,,,,,,20,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:28:00,MG,VH80650,y,,MS,,a,11.3,,,,,,,21.4,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:29:00,MG,VH80653,y,,MS,,a,11.4,,,,,,,19.4,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:33:00,MG,VH80555,y,,MS,,a,,,,,,,,18.1,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:33:00,MG,VH80667,,,MS,f,a,11.6,112,89,3,1,,,22.1,y,,y,,y,,
Dedelow-MS,06/06/2023,sunny,22,14:38:00,MG,VH80427,y,,MS,,a,,,,,,,,19.7,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:43:00,MG,VH80378,y,,MS,m,a,11.6,115,89,2,1,,,21.2,y,,,,,,tag in 2021 and 2022
Dedelow-MS,06/06/2023,sunny,22,14:45:00,J,VH59059,y,,MS,,a,11.6,,,,,,,19,,,,,,,tag 2022 and 2023
Dedelow-MS,06/06/2023,sunny,22,14:47:00,MG,VH80559,y,,MS,,a,,,,,,,,19.1,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:48:00,MG,VH80558,y,,MS,,a,,,,,,,,20.1,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:48:00,C,VH80667,,,MS,f,a,11.3,115,88,2,2,,,19.2,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:49:00,MG,VH80595,y,,MS,,a,11.3,,,,,,,20.2,y,,y,,y,,
Dedelow-MS,06/06/2023,sunny,22,14:56:00,MG,VH80532,y,,MS,,a,,,,,,,,19.2,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:57:00,MG,VH80656,y,,MS,,a,,,,,,,,19.8,,,,,,,
Dedelow-MS,06/06/2023,sunny,22,14:58:00,MG,VH80525,y,,MS,,a,,,,,,,,19.6,,,,,,,tag in 2023
Dedelow-RS,07/06/2023,sunny,23,10:09:00,MG,ZK22628,y,,RS,,a,10.9,,,,,,,19.2,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,10:11:00,J,VH80327,y,,RS,m,a,10.9,124,95,3,2,77,25,22.5,y,,,,,,pregnant
Dedelow-RS,07/06/2023,sunny,23,10:12:00,MG,ZK22627,y,,RS,m,a,11.3,123,98,2,1,111,51,20.7,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,10:20:00,MG,ZK56818,,,RS,f,a,10.7,122,95,3,1,89,38,20.8,y,,y,,y,LF,
Dedelow-RS,07/06/2023,sunny,23,10:40:00,MG,ZK22622,y,,RS,m?,a,10.3,124,98,2,0,107,47,21.3,y,,y,,y,LF,
Dedelow-RS,07/06/2023,sunny,23,10:45:00,MG,ZK56819,,,RS,f,a,10.7,123,96,3,2,78,24,21.8,y,,,,y,,pregnant?
Dedelow-RS,07/06/2023,sunny,23,10:45:00,J,ZK56820,,,RS,m?,a,11.2,126,94,4,3,94,47,18.4,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,10:52:00,J,ZK22656,y,,RS,m,a,11,,,3,2,,,19.3,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,10:53:00,MG,ZK56821,,,RS,f,a,11.1,123,98,3,2,95,35,22.7,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,10:55:00,J,ZK22750,y,,RS,m,a,11.2,132,104,5,3,120,62,26.8,y,,y,,,,
Dedelow-RS,07/06/2023,sunny,23,11:02:00,MG,ZK22714,y,,RS,,a,11.5,,,,,,,22.7,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:03:00,J,ZK22733,y,,RS,,a,11.6,,,,,,,22.2,,,,,,LF,tag in 2023
Dedelow-RS,07/06/2023,sunny,23,11:05:00,MG,ZK56822,,,RS,m,a,11.4,126,97,2,1,100,47,20.2,y,,y,,y,LF+,
Dedelow-RS,07/06/2023,sunny,23,11:11:00,MG,ZK56823,,,RS,f,a,11.1,122,92,3,1,95,38,23.9,y,,,,,,pregnant
Dedelow-RS,07/06/2023,sunny,23,11:12:00,J,ZK22758,y,,RS,m,a,11,134,98,2,1,126,62,20.4,,,,,,LF,
Dedelow-RS,07/06/2023,sunny,23,11:14:00,MG,ZA13632,y,,RS,,a,11.2,119,94,,,111,48,19.4,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:15:00,J,ZK56821,y,,RS,,a,11.4,,,,,,,22.2,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:19:00,MG,ZK56824,,,RS,m,a,11.2,124,98,1,0,100,47,20.2,,y,,,,LF,
Dedelow-RS,07/06/2023,sunny,23,11:20:00,J,ZK56906,y,,RS,,a,11.1,,,,,,,22,,,,,,LF,
Dedelow-RS,07/06/2023,sunny,23,11:25:00,MG,ZK22611,y,,RS,,a,,,,,,,,19.7,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:25:00,J,ZA13660,y,,RS,,a,11.1,118,93,3,1,86,33,20.4,y,y,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,11:29:00,J,ZK56825,,,RS,,a,10.7,128,95,,,96,34,18.9,,,,,,,1 long tail feather missing
Dedelow-RS,07/06/2023,sunny,23,11:34:00,SKS,ZI13633,y,,RS,m,a,11.6,130,99,2,2,136,65,20.4,y,,,,,LF,tail fork measure 
Dedelow-RS,07/06/2023,sunny,23,11:37:00,MG,ZK56826,,,RS,f,a,11,123,95,3,1,104,39,21.2,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:49:00,ADM,ZK22740,y,,RS,f,a,10.7,,,,,,,19,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:52:00,MG,ZK56827,,,RS,m,a,11.6,122,95,1,1,102,75,19.3,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:55:00,ADM,ZK22663,y,,RS,f,a,11.7,,,,,,,20.9,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:57:00,ADM,ZK56828,,,RS,m,a,11.6,122,93,1,2,85,30,20.2,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,11:59:00,MG,ZK56829,,,RS,m,a,11.3,119,91,1,0,88,48,18.2,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,12:06:00,ADM,ZK56830,,,RS,f,a,10.2,121,92,1,1,93,32,19.4,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,12:08:00,MG,ZK56831,,,RS,f,a,10.8,124,96,2,1,102,65,20.3,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,12:16:00,MG,ZK22614,y,,RS,f,a,11.3,124,98,2,1,101,64,19.7,y,y,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,12:26:00,J,PC35825,,,sparrow,m,a,19.2,72,56,2,1,,,28.2,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,12:29:00,MG,ZK22628,,,RS,,a,11.2,,,,,,,20,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,12:39:00,MG,VH80594,y,,MS,,a,11,,,,,,,19.3,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,12:39:00,CL,ZK56832,,,RS,m,a,10.7,125,96,2,1,114,66.6,19.7,y,,y,,y,LF,
Dedelow-RS,07/06/2023,sunny,23,12:39:00,MG,ZK22759,y,,RS,,a,,,,,,,,19,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,12:40:00,MG,ZK56833,,,RS,f,a,11.6,120,95,3,0,89,52,21.8,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,12:55:00,MG,ZK56834,,,RS,m,a,10.7,124,95,1,1,125,85,19.4,y,,y,,y,LF,"sehr alt, rostrat"
Dedelow-RS,07/06/2023,sunny,23,12:56:00,ADM,ZK56835,,,RS,m,a,11,123,98,1,1,84,44,17.5,y,,y,,y,LF,really male?
Dedelow-RS,07/06/2023,sunny,23,13:05:00,ADM,ZK56836,,,RS,m,a,11.7,124,97,2,1,113,74,21.2,y,,y,,y,,primary f. worn out
Dedelow-RS,07/06/2023,sunny,23,13:17:00,J,ZK56837,,,RS,m,a,11.5,123,96,3,2,99,61,18.9,y,,y,,y,,"2nd weight 19,2g"
Dedelow-RS,07/06/2023,sunny,23,13:19:00,CL,ZK22758,y,,RS,,a,11,,,,,,,20.9,,,,,,LF,
Dedelow-RS,07/06/2023,sunny,23,13:46:00,J,ZK56838,,,RS,m,a,11,130,95,3,1,114,78,20.5,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,13:46:00,MG,ZK56839,,,RS,m,a,11.5,127,99,1,1,118,75,20,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,13:50:00,J,ZK22718,y,,RS,,a,11.1,,,,,,,19.3,,,,,,LF,
Dedelow-RS,07/06/2023,sunny,23,13:52:00,J,ZK56840,,,RS,f,a,11.7,120,94,2,2,83,42,20.3,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,13:54:00,MG,ZK56819,y,,RS,,a,11.7,121,91,4,1,74,34,21.1,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,14:10:00,MG,ZK56841,,,RS,m,a,10.9,119,96,2,1,99,58,19.1,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,14:10:00,J,ZK56842,,,RS,m,a,11.2,127,94,2,1,101,51,18.7,,,,,,LF+,
Dedelow-RS,07/06/2023,sunny,23,14:15:00,J,ZK22612,y,,RS,m,a,11.3,119,86,3,2,106,73,18.4,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,14:20:00,J,ZK22728,y,,RS,m,a,10.7,127,95,1,1,97,60,19.6,y,,,,,LF,
Dedelow-RS,07/06/2023,sunny,23,14:35:00,MG,ZK56834,y,,RS,,a,,,,,,,,19.9,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,14:35:00,J,ZK22712,y,,RS,,a,12.1,,,,,,,21.4,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,14:47:00,MG,ZK56906,y,,RS,,a,,,,,,,,21.4,,,,,,,tag in 2023
Dedelow-RS,07/06/2023,sunny,23,14:47:00,J,ZK22656,y,,RS,,a,,,,,,,,19.7,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,14:48:00,CL,ZK56843,,,RS,f,a,11,126,95,2,1,94,47,18.6,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,14:48:00,J,VH80477,y,,RS,m,a,10.8,126,95,1,1,96,61,21.8,y,,,,,LF,
Dedelow-RS,07/06/2023,sunny,23,14:58:00,MG,VH80481,y,,RS,m,a,11.1,120,96,1,2,120,83,24.3,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,15:07:00,J,ZK56823,y,,RS,,a,,,,,,,,24.5,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,15:10:00,J,ZK22665,y,,RS,m,a,10.7,125,95,3,2,118,77,20.5,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,15:17:00,J,ZK22746,y,,RS,f,a,10.6,127,97,4,1,85,44,21.2,,,,,,,pregnant
Dedelow-RS,07/06/2023,sunny,23,15:20:00,MG,ZA13651,y,,RS,,a,,,,,,,,19.3,,,,,,,tag in 2023
Dedelow-RS,07/06/2023,sunny,23,15:25:00,J,ZK56844,,,RS,m,a,11.2,125,94,3,2,105,65,20.6,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,15:39:00,MG,ZK56821,y,,RS,,a,,,,,,,,21.7,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,15:39:00,J,ZK22625,y,,RS,,a,11,,,,,,,20.7,,,,,,LF,tag in 2023
Dedelow-RS,07/06/2023,sunny,23,15:51:00,MG,ZI13648,y,,RS,f,a,10.8,123,96,3,2,86,39,20.4,y,,y,,y,LF,
Dedelow-RS,07/06/2023,sunny,23,15:52:00,ADM,ZK56845,,,RS,m,a,10.6,125,98,3,2,109,61,20.4,y,,y,,y,,ste
Dedelow-RS,07/06/2023,sunny,23,15:54:00,MG,ZK22716,y,,RS,,a,11.4,,,,,,,18.9,,,,,,,was tagged in 2023
Dedelow-RS,07/06/2023,sunny,23,16:30:00,MG,VH80313,y,,RS,,a,,,,,,,,19.4,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,16:39:00,MG,ZK22687,y,,RS,m,a,10.6,123,99,3,1,110,70,18.5,y,,,,,,
Dedelow-RS,07/06/2023,sunny,23,16:39:00,J,ZK22668,y,,RS,m,a,11.2,127,96,2,2,98,60,22.2,y,,y,,y,,dickes …. Bauch
Dedelow-RS,07/06/2023,sunny,23,16:44:00,J,ZK22676,y,,RS,f,a,10.9,123,92,2,2,87,51,19.3,y,y,y,,y,LF,feathers worn out
Dedelow-RS,07/06/2023,sunny,23,16:45:00,MG,ZK22737,y,,RS,,a,10.8,,,,,,,22.1,,,,,,,tagged 2023
Dedelow-RS,07/06/2023,sunny,23,16:50:00,CL,ZK22705,y,,RS,m,a,11.1,129,101,2,1,120,68,19.2,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,16:59:00,J,ZK56846,,,RS,m,a,11.6,127,97,2,2,115,74,19.8,y,,y,,y,,
Dedelow-RS,07/06/2023,sunny,23,17:00:00,ADM,ZK56847,,,RS,f,a,10.6,126,98,3,1,87,44,24.3,y,y,y,,y,LF,
Dedelow-RS,07/06/2023,sunny,23,17:05:00,J,ZK56848,,,RS,m,a,11.1,127,92,1,1,99,56,18,y,,y,,y,LF,worn out prim
Dedelow-RS,07/06/2023,sunny,23,17:09:00,J,ZK56919,y,,RS,f,a,10.7,,,,,,,19.4,,y,y,,,,
Dedelow-RS,07/06/2023,sunny,23,17:24:00,MG,ZK22737,y,,RS,,a,,,,,,,,22.3,,,,,,,
Dedelow-RS,07/06/2023,sunny,23,17:25:00,ADM,ZK22646,y,,RS,,a,,,,,,,,19.9,,,y,,y,,
Ränsch Falkenhagen,25/06/2023,"sunny, windy",,15:05:00,WU,ZK56924,n,,RS,m,a,10.6,129,,1,3,,67,18.5,,,,,,,
Ränsch Falkenhagen,25/06/2023,"sunny, windy",,15:05:00,WU,ZK56925,n,,RS,f,a,11.6,127,,2,3,,45,23,,,,,,,
Ränsch Falkenhagen,25/06/2023,"sunny, windy",,15:05:00,WU,ZK56926,n,,RS,f,a,10,128,,2,2,,44,21,,,,,,,
Ränsch Falkenhagen,25/06/2023,"sunny, windy",,15:05:00,WU,ZK56927,n,2962,RS,f,a,11.5,124,,2,3,,48,22,,y,,,,,
Ränsch Falkenhagen,25/06/2023,"sunny, windy",,15:05:00,WU,ZK56928,n,2867,RS,m,a,11.7,124,,2,2,,72,19,,y,,,,,
Ränsch Falkenhagen,25/06/2023,"sunny, windy",,15:05:00,WU,ZK56929,n,2987,RS,m,a,11.7,127,,1,2,,66,19,,,,,,,
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,09:51:00,MG,VH80571,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,09:52:00,MG,VH59077,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,09:52:00,MG,VH80667,y,,MS,NA,a,11.7,110,89,2,1,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,09:54:00,MG,VH80669,n,,MS,f?,a,11.3,117,84,2,0,58,NA,18,y,NA,y,NA,y,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:03:00,MG,VH80670,n,3060,MS,m,a,10,114,91,2,1,66,NA,20.3,y,y,y,NA,y,NA,"wound, eyelash"
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:12:00,MG,VH59071,y,,MS,m,a,NA,114,89,1,0,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:16:00,MG,VH80671,n,2992,MS,?,a,11.7,110,88,3,2,62,NA,21.4,y,y,y,NA,y,NA,"waker glue, starting problems"
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:26:00,MG,VH80597,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:26:00,MG,VH80672,n,,MS,f?,a,11.5,114,90,3,1,63,NA,19.2,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:30:00,MG,VH80579,y,,MS,m,a,NA,NA,NA,1,1,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:33:00,SKS,VH80596,y,,MS,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:51:00,MG,VH80673,n,,MS,f,a,10.6,107,84,3,2,60,NA,18.8,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:53:00,MG,VH80555,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:55:00,MG,VH80582,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:56:00,MG,VH80464,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,10:59:00,MG,VH80564,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,19,NA,y,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,11:00:00,MG,VH80660,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,11:01:00,MG,VH80581,y,,MS,f,a,NA,NA,NA,3,NA,NA,NA,20.1,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",25,11:03:00,MG,VH80666,y,,MS,f,a,NA,NA,NA,3,1,NA,NA,19.6,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:07:00,MG,VH80586,y,,MS,f,a,NA,NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:09:00,MG,VH80525,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:10:00,MG,VH80649,y,,MS,NA,a,11.6,112,89,2,0,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:12:00,MG,VH80503,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:13:00,MG,VH80599,y,,MS,f,a,NA,NA,NA,2,0,NA,NA,19.6,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:14:00,MG,VH80657,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:18:00,MG,VH80565,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,"tag in May 2023, nest known"
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:20:00,MG,VH80592,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,NA,tag in 2023
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:26:00,MG,VH80354,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,tag in 2022
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:27:00,MG,VH80505,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:27:00,SKS,VH80674,n,,MS,f,a,11.6,115,85,1,2,62,NA,18.5,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:31:00,MG,VH80571,y,,MS,m,a,NA,NA,NA,1,2,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:39:00,MG,VH80656,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:41:00,MG,VH80590,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,tagged in 2023
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:42:00,MG,VH80555,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:42:00,MG,VH80672,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:45:00,MG,VH80580,y,,MS,NA,a,NA,NA,NA,2,0,NA,NA,18.4,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:46:00,MG,VH80570,y,2998,MS,m?,a,11.4,113,88,1,1,NA,NA,20,NA,NA,NA,NA,NA,NA,eyelash
Dedelow-MS,26/06/2023,"sunny, slightly windy",27,11:52:00,SKS,VH80583,y,3071,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,NA,NA,NA,NA,waker glue
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,11:55:00,SKS,VH80675,n,,MS,f,NA,11.2,106,80,3,1,59,NA,18.1,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:00:00,U,VH80565,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,LF,tagged in 2023
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:01:00,U,VH80591,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.2,y,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:08:00,U,VH80676,n,,MS,NA,a,9.5,109,80,1,1,58,NA,17.8,NA,NA,NA,NA,NA,NA,could be juvenile
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:08:00,MG,VH80584,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:09:00,MG,VH80508,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:15:00,U,VH80677,n,,MS,f,a,10.8,104,80,1,1,52,NA,19.8,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:17:00,MG,VH80663,y,,MS,f,a,NA,NA,NA,3,2,NA,NA,19.5,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:18:00,MG,VH80678,n,,MS,m,a,11.2,117,84,1,1,58,NA,18.9,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:23:00,MG,VH80679,n,,MS,NA,j,10,105,81,NA,NA,57,NA,18.4,NA,NA,NA,NA,NA,NA,nest is known
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:25:00,U,VH80680,n,,MS,f?,a,10.9,103,77,0,1,52,NA,19.2,NA,NA,NA,NA,NA,NA,pregnant?
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:27:00,MG,VH80651,y,,MS,f,a,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:28:00,MG,ZI13625,y,,MS,f,a,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,pregnant
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:45:00,MG,VH80521,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:45:00,U,VH80545,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:50:00,MG,VH80599,y,,MS,f,a,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,"nest is known, pregnant"
Dedelow-MS,26/06/2023,"sunny, slightly windy",28,12:50:00,U,VH80508,y,,MS,NA,a,NA,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA
