ring_id,date,extract_date,plasmodium ,haemoproteus,leucocytozoon
VH80653,06.06.2023,20.06.2023,n,n,n
VH80654,06.06.2023,20.06.2023,n,n,n
VH80656,06.06.2023,20.06.2023,n,n,n
VH80657,06.06.2023,21.06.2023,n,n,n
VH80658,06.06.2023,20.06.2023,n,y,n
VH80659,06.06.2023,20.06.2023,n,n,n
VH80660,06.06.2023,20.06.2023,n,n,n
VH80661,06.06.2023,20.06.2023,n,n,n
VH80662,06.06.2023,20.06.2023,y,n,n
VH80663,06.06.2023,20.06.2023,n,n,n
VH80664,06.06.2023,20.06.2023,n,n,n
VH80665,06.06.2023,21.06.2023,n,y,n
VH80666,06.06.2023,20.06.2023,n,n,n
VH80667,06.06.2023,20.06.2023,n,n,n
VH80668,06.06.2023,20.06.2023,n,n,n
VH80669,26.06.2023,29.06.2023,n,n,n
VH80670,26.06.2023,29.06.2023,n,n,n
VH80671,26.06.2023,29.06.2023,n,n,n
VH80687,27.06.2023,29.06.2023,n,n,n
VH80690,27.06.2023,29.06.2023,y,y,n
VH80697,27.06.2023,29.06.2023,n,n,n
VH80719,26.06.2023,29.06.2023,n,n,n
VH80720,NA,29.06.2023,y,n,n
VH80721,26.06.2023,29.06.2023,n,n,n
ZI13624,23.05.2023,22.06.2023,n,n,n
ZI13633,07.06.2023,21.06.2023,n,n,n
ZI13648,07.06.2023,20.06.2023,n,n,n
ZI13651,24.05.2023,29.06.2023,n,n,n
ZI13787,24.05.2023,30.06.2023,n,n,n
ZK13632,07.06.2023,21.06.2023,n,n,n
ZK13660,07.06.2023,20.06.2023,n,n,n
ZK22602,23.05.2023,21.06.2023,n,n,n
,,,,,
,,,,,
ZK22611,24.05.2023,22.06.2023,n,n,n
ZK22612,07.06.2023,20.06.2023,n,n,n
ZK22614,07.06.2023,21.06.2023,n,n,n
ZK22621,24.05.2023,22.06.2023,n,n,n
ZK22622,07.06.2023,21.06.2023,n,n,n
ZK22625,24.05.2023,22.06.2023,n,n,n
ZK22627,07.06.2023,20.06.2023,n,n,n
ZK22628,23.05.2023,22.06.2023,n,n,n
ZK22646,24.05.2023,30.06.2023,y,n,n
ZK22656,24.05.2023,22.06.2023,n,n,n
ZK22663,07.06.2023,20.06.2023,n,n,n
ZK22665,07.06.2023,20.06.2023,n,n,n
ZK22668,07.06.2023,20.06.2023,n,n,n
ZK22672,23.05.2023,22.06.2023,n,n,n
ZK22676,07.06.2023,20.06.2023,n,n,n
ZK22677,26.06.2023,29.06.2023,n,n,n
ZK22687,07.06.2023,20.06.2023,n,n,n
ZK22688,24.05.2023,30.06.2023,n,n,n
ZK22689,24.05.2023,22.06.2023,n,n,n
ZK22700,24.05.2023,22.06.2023,n,n,n
ZK22705,07.06.2023,20.06.2023,n,n,n
ZK22706,23.05.2023,22.06.2023,n,n,n
ZK22707,23.05.2023,21.06.2023,n,n,n
ZK22708,23.05.2023,21.06.2023,n,n,n
ZK22712,24.05.2023,30.06.2023,n,n,n
ZK22715,24.05.2023,30.06.2023,n,n,n
ZK22716,24.05.2023,30.06.2023,n,n,n
ZK22717,24.05.2023,22.06.2023,n,n,n
ZK22718,24.05.2023,30.06.2023,n,n,n
ZK22720,23.05.2023,22.06.2023,n,n,n
ZK22720,24.05.2023,30.06.2023,n,n,n
ZK22722,24.05.2023,30.06.2023,n,n,n
,,,,,
,,,,,
ZK22723,24.05.2023,30.06.2023,n,n,n
ZK22725,24.05.2023,30.06.2023,n,n,n
ZK22727,24.05.2023,30.06.2023,n,n,n
ZK22727,NA,NA,n,n,n
ZK22728,07.06.2023,20.06.2023,n,n,n
ZK22729,24.05.2023,30.06.2023,n,n,n
ZK22730,24.05.2023,30.06.2023,n,n,n
ZK22731,24.05.2023,30.06.2023,n,n,n
ZK22732,24.05.2023,30.06.2023,n,n,n
ZK22733,24.05.2023,30.06.2023,n,n,n
ZK22714,24.05.2023,22.06.2023,n,n,n
ZK22734,24.05.2023,22.06.2023,n,n,n
ZK22735,24.05.2023,22.06.2023,y,n,n
ZK22739,24.05.2023,22.06.2023,n,n,n
ZK22740,24.05.2023,22.06.2023,n,n,n
ZK22741,24.05.2023,22.06.2023,n,n,n
ZK22742,24.05.2023,29.06.2023,n,n,n
ZK22743,24.05.2023,29.06.2023,y,n,n
ZK22745,24.05.2023,30.06.2023,n,n,n
ZK22746,24.05.2023,22.06.2023,n,n,n
ZK22737,24.05.2023,22.06.2023,n,n,n
ZK22748,24.05.2023,22.06.2023,n,n,n
ZK22749,24.05.2023,22.06.2023,n,n,n
ZK22750,07.06.2023,20.06.2023,n,n,n
ZK22751,24.05.2023,22.06.2023,n,n,n
ZK22752,24.05.2023,22.06.2023,n,n,n
ZK22754,24.05.2023,22.06.2023,y,n,n
ZK22755,24.05.2023,22.06.2023,n,n,n
ZK22756,24.05.2023,22.06.2023,n,n,n
ZK22757,24.05.2023,30.06.2023,n,n,n
ZK22758,24.05.2023,30.06.2023,n,n,n
ZK22760,24.05.2023,22.06.2023,n,n,n
,,,,,
,,,,,
ZK22761,24.05.2023,22.06.2023,n,n,n
ZK22762,24.05.2023,30.06.2023,y,n,n
ZK22763,24.05.2023,22.06.2023,n,n,n
ZK22764,24.05.2023,22.06.2023,n,n,n
ZK22768,26.06.2023,29.06.2023,n,n,n
ZK22771,26.06.2023,29.06.2023,n,n,n
